,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
149,-1.53044080401,586.736404805,0.0025,9873.09692998,206.988081126,1.49,127.787909773
150,-1.53061345159,585.358362436,0.0025,9871.08857782,208.265209472,1.5,127.637756593
151,-1.53078663482,583.981784598,0.0025,9869.07999843,209.540836201,1.51,127.487586424
152,-1.53096035393,582.606671361,0.0025,9867.0711911,210.814961144,1.52,127.337399214
153,-1.53113460916,581.233022796,0.0025,9865.06215512,212.087584129,1.53,127.187194908
154,-1.53130940074,579.860838977,0.0025,9863.05288979,213.358704985,1.54,127.036973456
155,-1.53148472892,578.490119978,0.0025,9861.04339441,214.62832354,1.55,126.886734804
156,-1.53166059393,577.120865877,0.0025,9859.03366828,215.896439623,1.56,126.7364789
157,-1.53183699602,575.753076754,0.0025,9857.02371068,217.163053061,1.57,126.586205691
158,-1.53201393542,574.38675269,0.0025,9855.01352092,218.428163679,1.58,126.435915124
159,-1.53219141237,573.021893769,0.0025,9853.00309829,219.691771305,1.59,126.285607146
160,-1.53236942712,571.658500078,0.0025,9850.99244208,220.953875764,1.6,126.135281705
161,-1.5325479799,570.296571703,0.0025,9848.98155159,222.214476881,1.61,125.984938748
162,-1.53272707097,568.936108736,0.0025,9846.9704261,223.47357448,1.62,125.834578223
163,-1.53290670057,567.577111269,0.0025,9844.95906492,224.731168387,1.63,125.684200075
164,-1.53308686894,566.219579396,0.0025,9842.94746734,225.987258423,1.64,125.533804254
165,-1.53326757632,564.863513214,0.0025,9840.93563265,227.241844413,1.65,125.383390704
166,-1.53344882297,563.508912821,0.0025,9838.92356014,228.494926178,1.66,125.232959375
167,-1.53363060914,562.155778319,0.0025,9836.91124911,229.746503541,1.67,125.082510212
168,-1.53381293506,560.804109811,0.0025,9834.89869884,230.996576322,1.68,124.932043163
169,-1.53399580099,559.453907401,0.0025,9832.88590862,232.245144344,1.69,124.781558175
170,-1.53417920718,558.105171197,0.0025,9830.87287776,233.492207426,1.7,124.631055195
171,-1.53436315388,556.757901309,0.0025,9828.85960554,234.737765388,1.71,124.480534169
172,-1.53454764134,555.412097848,0.0025,9826.84609124,235.981818049,1.72,124.329995046
